Timestamp for sample frequency every 60 min min,Temperature_Fahrenheit,Relative_Humidity
2024-08-06 17:00:00,74.84,94.4
2024-08-06 18:00:00,75.92,95.5
2024-08-06 19:00:00,74.48,95.5
2024-08-06 20:00:00,71.06,96.3
2024-08-06 21:00:00,68.72,96.9
2024-08-06 22:00:00,67.28,97.1
2024-08-06 23:00:00,66.02,97.2
2024-08-07 00:00:00,64.94,97.3
2024-08-07 01:00:00,64.04,97.3
2024-08-07 02:00:00,63.14,97.3
2024-08-07 03:00:00,62.42,97.4
2024-08-07 04:00:00,61.52,97.4
2024-08-07 05:00:00,60.98,97.4
2024-08-07 06:00:00,60.26,97.3
2024-08-07 07:00:00,59.54,97.3
2024-08-07 08:00:00,59.18,97.3
2024-08-07 09:00:00,59,97.3
2024-08-07 10:00:00,59.36,97.3
2024-08-07 11:00:00,60.26,97.4
2024-08-07 12:00:00,62.78,97.4
2024-08-07 13:00:00,68.72,96.9
2024-08-07 14:00:00,68.72,96.7
2024-08-07 15:00:00,69.26,97
2024-08-07 16:00:00,71.78,96.9
2024-08-07 17:00:00,71.78,96.6
2024-08-07 18:00:00,69.44,97
2024-08-07 19:00:00,67.28,97.4
2024-08-07 20:00:00,65.84,97.7
2024-08-07 21:00:00,64.76,97.9
2024-08-07 22:00:00,63.86,97.9
2024-08-07 23:00:00,62.96,97.9
2024-08-08 00:00:00,62.24,98
2024-08-08 01:00:00,61.7,98
2024-08-08 02:00:00,61.16,98
2024-08-08 03:00:00,60.62,98
2024-08-08 04:00:00,60.08,98
2024-08-08 05:00:00,59.54,98
2024-08-08 06:00:00,59.18,98
2024-08-08 07:00:00,58.64,98
2024-08-08 08:00:00,58.46,98
2024-08-08 09:00:00,58.28,98
2024-08-08 10:00:00,58.46,98
2024-08-08 11:00:00,58.82,98
2024-08-08 12:00:00,61.16,97.9
2024-08-08 13:00:00,62.96,97.8
2024-08-08 14:00:00,64.58,97.7
2024-08-08 15:00:00,66.2,97.6
2024-08-08 16:00:00,69.62,97.5
2024-08-08 17:00:00,71.78,96.9
2024-08-08 18:00:00,69.26,97.2
2024-08-08 19:00:00,67.1,97.6
2024-08-08 20:00:00,64.76,98
2024-08-08 21:00:00,64.04,98.2
2024-08-08 22:00:00,63.14,98.2
2024-08-08 23:00:00,62.42,98.3
2024-08-09 00:00:00,61.7,98.3
2024-08-09 01:00:00,60.98,98.3
2024-08-09 02:00:00,60.26,98.3
2024-08-09 03:00:00,59.72,98.3
2024-08-09 04:00:00,59.18,98.4
2024-08-09 05:00:00,58.82,98.3
2024-08-09 06:00:00,58.46,98.4
2024-08-09 07:00:00,58.1,98.3
2024-08-09 08:00:00,57.74,98.3
2024-08-09 09:00:00,57.74,98.3
2024-08-09 10:00:00,57.92,98.3
2024-08-09 11:00:00,58.46,98.3
2024-08-09 12:00:00,59.72,98.3
2024-08-09 13:00:00,61.16,98.2
2024-08-09 14:00:00,62.96,98.1
2024-08-09 15:00:00,64.94,97.9
2024-08-09 16:00:00,67.28,97.8
2024-08-09 17:00:00,68.36,97.4
2024-08-09 18:00:00,66.92,97.9
2024-08-09 19:00:00,65.66,97.9
2024-08-09 20:00:00,65.66,98.2
2024-08-09 21:00:00,71.6,98.2
2024-08-09 22:00:00,65.66,98.1
2024-08-09 23:00:00,65.3,98.4
2024-08-10 00:00:00,64.58,98.5
2024-08-10 01:00:00,63.86,98.6
2024-08-10 02:00:00,62.96,98.6
2024-08-10 03:00:00,62.24,98.6
2024-08-10 04:00:00,61.52,98.6
2024-08-10 05:00:00,60.98,98.6
2024-08-10 06:00:00,60.26,98.5
2024-08-10 07:00:00,59.9,98.5
2024-08-10 08:00:00,59.36,98.5
2024-08-10 09:00:00,59.36,98.5
2024-08-10 10:00:00,59.72,98.5
2024-08-10 11:00:00,60.44,98.6
