Timestamp for sample frequency every 60 min min,Temperature_Fahrenheit,Relative_Humidity
2024-08-07 08:00:00,42.98,84
2024-08-07 09:00:00,43.16,83.8
2024-08-07 10:00:00,43.52,83.5
2024-08-07 11:00:00,44.24,82.6
2024-08-07 12:00:00,45.5,81.7
2024-08-07 13:00:00,50.72,78.2
2024-08-07 14:00:00,54.86,72.1
2024-08-07 15:00:00,54.14,70.1
2024-08-07 16:00:00,53.96,68.8
2024-08-07 17:00:00,54.68,67.7
2024-08-07 18:00:00,53.6,65.8
2024-08-07 19:00:00,51.44,66.6
2024-08-07 20:00:00,49.46,68
2024-08-07 21:00:00,48.2,69.3
2024-08-07 22:00:00,47.48,72.2
2024-08-07 23:00:00,47.48,74.7
2024-08-08 00:00:00,47.66,76.6
2024-08-08 01:00:00,47.84,78.7
2024-08-08 02:00:00,48.38,80
2024-08-08 03:00:00,48.56,80.9
2024-08-08 04:00:00,48.74,81.8
2024-08-08 05:00:00,48.92,82.6
2024-08-08 06:00:00,49.1,83.4
2024-08-08 07:00:00,49.1,84.2
2024-08-08 08:00:00,49.28,84.9
2024-08-08 09:00:00,49.64,85.4
2024-08-08 10:00:00,50.18,85.7
2024-08-08 11:00:00,50.18,90.7
2024-08-08 12:00:00,51.08,90.9
2024-08-08 13:00:00,54.14,91.3
2024-08-08 14:00:00,56.3,91
2024-08-08 15:00:00,58.28,91.7
2024-08-08 16:00:00,59.9,91.8
2024-08-08 17:00:00,62.6,92
2024-08-08 18:00:00,63.5,92.1
2024-08-08 19:00:00,62.42,92.2
2024-08-08 20:00:00,60.44,92.3
2024-08-08 21:00:00,58.82,97.3
2024-08-08 22:00:00,57.92,97.5
2024-08-08 23:00:00,57.2,97.6
2024-08-09 00:00:00,56.66,97.8
2024-08-09 01:00:00,56.3,97.8
2024-08-09 02:00:00,55.94,97.9
2024-08-09 03:00:00,55.76,97.9
2024-08-09 04:00:00,55.58,97.9
2024-08-09 05:00:00,55.76,97.9
2024-08-09 06:00:00,55.58,98
2024-08-09 07:00:00,55.22,98
2024-08-09 08:00:00,55.22,98
2024-08-09 09:00:00,55.4,97.8
2024-08-09 10:00:00,55.58,97.5
2024-08-09 11:00:00,56.12,97.5
2024-08-09 12:00:00,57.02,97.5
2024-08-09 13:00:00,58.28,97.8
2024-08-09 14:00:00,59.9,98.2
2024-08-09 15:00:00,61.52,98.2
2024-08-09 16:00:00,62.96,98.1
2024-08-09 17:00:00,62.78,98.2
2024-08-09 18:00:00,63.5,98.1
2024-08-09 19:00:00,63.86,97.9
2024-08-09 20:00:00,61.88,94.9
2024-08-09 21:00:00,61.7,92.4
2024-08-09 22:00:00,61.88,93.1
2024-08-09 23:00:00,62.24,93.1
2024-08-10 00:00:00,62.78,93.1
2024-08-10 01:00:00,62.24,93.1
2024-08-10 02:00:00,61.52,92.6
2024-08-10 03:00:00,60.98,92.6
2024-08-10 04:00:00,60.44,92.6
2024-08-10 05:00:00,60.08,92.6
2024-08-10 06:00:00,59.9,93.2
2024-08-10 07:00:00,59.72,93.2
2024-08-10 08:00:00,59.54,93.3
2024-08-10 09:00:00,59.36,93.3
2024-08-10 10:00:00,59.54,93.3
2024-08-10 11:00:00,60.08,92.7
